id,latitude,longitude,size,stop_time,tw_start,tw_end
D_1,-36.757002,-73.086109,400,823,,
D_2,-36.83075,-73.043832,400,823,,
D_3,-36.608158,-72.113073,3200,2436,,
D_4,-36.816597,-73.052815,800,1053,,
D_5,-36.768661,-73.075894,800,1053,,
D_6,-36.768983,-73.065041,400,823,,
D_7,-36.770144,-73.070805,800,1053,,
D_8,-36.771171,-73.068304,400,823,,
D_9,-36.72478,-73.11698,800,1053,,
D_10,-36.807167,-73.059194,1600,1514,,
D_11,-36.771389,-73.072139,400,823,,
D_12,-36.613731,-72.075998,800,1053,,
D_13,-36.593861,-72.109889,1200,1284,,
D_14,-36.740686,-73.100096,800,1053,,
D_15,-36.78114,-73.080702,1200,1284,,
D_16,-36.780194,-73.039472,800,1053,,
D_17,-36.583027,-72.064305,800,1053,,
D_18,-36.789249,-73.086064,1200,1284,,
D_19,-36.77148,-73.071198,400,823,,
D_20,-36.781226,-73.080261,800,1053,,
D_21,-36.771816,-73.072289,400,823,,
D_22,-36.741944,-73.089538,1600,1514,,
D_23,-36.781749,-73.04948,800,1053,,
D_24,-36.787814,-73.080803,1600,1514,,
D_25,-36.768515,-73.070135,800,1053,,
D_26,-36.58806,-72.109159,2400,1975,,
D_27,-36.773458,-73.068346,400,823,,
D_28,-36.757782,-73.086693,400,823,,
D_29,-36.799591,-73.109519,400,823,,
D_30,-36.814119,-73.066244,1200,1284,,
D_31,-36.819024,-73.015189,400,823,,
D_32,-36.82763,-73.124922,400,823,,
D_33,-36.852045,-73.132642,800,1053,,
D_34,-36.740205,-73.091431,400,823,,
D_35,-36.772319,-73.069426,800,1053,,
D_36,-36.774248,-73.070751,400,823,,
D_37,-36.817249,-73.005116,1600,1514,,
D_38,-36.812021,-72.98557,400,823,,
D_39,-36.773099,-73.070813,400,823,,
D_40,-36.858627,-73.139144,800,1053,,
D_41,-36.812569,-72.98646,400,823,,
D_42,-36.812439,-72.984494,400,823,,
D_43,-36.7834,-73.038287,800,1053,,
D_44,-36.820135,-73.04439,400,823,,
D_45,-36.813251,-72.986397,400,823,,
D_46,-36.77338,-73.072289,400,823,,
D_47,-36.598015,-72.112228,800,1053,,
D_48,-36.813446,-72.988075,400,823,,
D_49,-36.81699,-72.998512,1200,1284,,
D_50,-36.812068,-72.9877,400,823,,
D_51,-36.826386,-73.0065,800,1053,,
D_52,-36.81399,-72.98693,400,823,,
D_53,-36.811893,-72.988571,400,823,,
D_54,-36.813056,-72.989,400,823,,
D_55,-36.865028,-73.140282,800,1053,,
D_56,-36.776402,-73.070793,800,1053,,
D_57,-36.972856,-73.160925,1200,1284,,
D_58,-36.740363,-73.086466,800,1053,,
D_59,-36.852506,-73.13176,1200,1284,,
D_60,-36.772283,-73.072209,400,823,,
D_61,-36.821515,-73.027222,1600,1514,,
D_62,-36.772954,-73.071221,400,823,,
D_63,-36.604363,-72.07464,1600,1514,,
D_64,-36.609129,-72.081673,1200,1284,,
D_65,-37.064173,-73.142886,300,765,,
D_66,-37.721883,-72.242093,500,880,,
D_67,-37.509578,-72.324378,375,808,,
D_68,-36.767422,-73.170858,250,736,,10:00:00
D_69,-37.219722,-72.385389,580,926,,
D_70,-37.452955,-72.333208,125,664,,
D_71,-36.822218,-73.023208,250,736,,
D_72,-36.832423,-73.105238,250,736,,
D_73,-37.016634,-72.988122,385,814,,
D_74,-36.978472,-73.175111,4000,2896,,
D_75,-36.609082,-72.089984,600,938,,
D_76,-37.585296,-72.530171,400,823,,
D_77,-36.764554,-73.085437,171,691,16:00:00,21:00:00
D_78,-37.459261,-72.325544,445,849,12:00:00,18:00:00
D_79,-37.7255,-72.23291,476,867,,
D_80,-37.171998,-72.941238,400,823,,
D_81,-37.488665,-72.286309,270,748,,
D_82,-37.46511,-72.35953,300,765,,
D_83,-36.948777,-73.155829,5000,3472,,
D_84,-37.49783,-72.68415,400,823,,
D_85,-37.724711,-72.243313,1200,1284,,
D_86,-36.61102,-72.14123,480,869,,
D_87,-36.770272,-73.112648,400,823,,
D_88,-36.976381,-73.17241,550,909,,
D_89,-36.84693,-73.13719,330,782,,
D_90,-36.707021,-72.271667,8000,5200,,
D_91,-36.606583,-72.093361,1500,1456,,
D_92,-37.494738,-72.689428,600,938,,
D_93,-37.50773,-72.65855,240,731,,
D_94,-36.623575,-72.145592,1500,1456,,
D_95,-36.98703,-73.154185,2800,2205,,
D_96,-37.506428,-72.676097,250,736,,
D_97,-36.765724,-73.11586,1300,1341,,
D_98,-36.76757,-73.170556,300,765,,
D_99,-36.971103,-73.168196,8000,5200,,
D_100,-37.72436,-72.25464,250,736,,
D_101,-37.064816,-73.143376,250,736,,
D_102,-37.730837,-72.230996,300,765,,
D_103,-36.817257,-73.056558,3200,2436,,
D_104,-37.497405,-72.690595,170,690,,
D_105,-37.174398,-72.95592,400,823,,
D_106,-37.588438,-72.522636,400,823,,
D_107,-36.9788,-72.964362,200,708,,
D_108,-37.45165,-72.31711,120,661,,
