id,latitude,longitude,size,stop_time,tw_start,tw_end
D_1,-34.185892,-70.72026,500,880,,
D_2,-34.583904,-70.992034,500,880,,
D_3,-34.045113,-70.67002,360,800,,
D_4,-34.122416,-70.63519,10000,6352,,
D_5,-34.164,-70.734403,160,685,,
D_6,-34.173571,-70.842738,300,765,,
D_7,-34.179033,-70.714959,151,679,,
D_8,-34.252923,-70.793993,501,881,,
D_9,-34.284441,-70.827128,250,736,,
D_10,-34.173178,-70.701602,120,661,,
D_11,-34.223315,-70.967008,375,808,,
D_12,-34.174327,-70.752931,5000,3472,,
D_13,-34.001395,-70.69353,6000,4048,,
D_14,-34.182208,-70.694532,250,736,,
D_15,-34.409004,-70.864319,720,1007,,
D_16,-34.212196,-70.657681,15,601,,
D_17,-34.238334,-70.978748,160,685,,
D_18,-34.29072,-70.8089,1200,1284,,
D_19,-34.001488,-70.693508,10000,6352,,
D_20,-34.114467,-70.682847,2400,1975,,
D_21,-34.249185,-71.04603,650,967,,
D_22,-34.331449,-70.888853,1400,1399,,
D_23,-34.545347,-70.95309,1900,1687,,
D_24,-34.578322,-70.99083,240,731,,
D_25,-34.244133,-70.985211,251,737,,
D_26,-34.23582,-70.778198,580,926,,
D_27,-34.222828,-70.972191,120,661,,
D_28,-34.590044,-70.968221,550,909,,
D_29,-34.576814,-71.003303,120,661,,
D_30,-34.159411,-70.715086,550,909,,
D_31,-34.228274,-70.782333,300,765,,
D_32,-34.209184,-70.814858,400,823,,
D_33,-34.592267,-70.98697,300,765,,
D_34,-34.575542,-70.995463,300,765,,
D_35,-34.170956,-70.703133,200,708,,
D_36,-34.267358,-71.031469,175,693,,
D_37,-34.400957,-70.842169,502,881,,
D_38,-34.205148,-70.656517,120,661,,
D_39,-34.209034,-70.89944,251,737,,
D_40,-34.290173,-71.082854,400,823,,
D_41,-34.175594,-70.703832,637,959,,
D_42,-34.04645,-70.675743,600,938,,
D_43,-34.405065,-70.846615,600,938,,
D_44,-34.035962,-70.647753,1575,1500,,
D_45,-34.360931,-70.836255,8000,5200,,
D_46,-34.160367,-70.744945,300,765,,
D_47,-34.566607,-71.000203,250,736,,
D_48,-34.167152,-70.740349,251,737,,12:00:00
D_49,-34.15092,-70.76583,375,808,,
D_50,-34.15542,-70.713246,375,808,12:00:00,16:00:00
D_51,-34.177588,-70.757829,375,808,12:00:00,16:00:00
D_52,-34.160741,-70.73843,1397,1397,,11:30:00
D_53,-34.590813,-70.996078,419,834,,
D_54,-34.289161,-71.083084,240,731,,
D_55,-34.160107,-70.704028,350,794,,
D_56,-34.176538,-70.736833,600,938,,
D_57,-34.191216,-70.67202,300,765,,
D_58,-34.267326,-71.031936,125,664,,
D_59,-33.963413,-70.68885,8000,5200,,
D_60,-34.28162,-71.075432,450,852,,
D_61,-34.392256,-70.854765,480,869,,
D_62,-34.171195,-70.74279,300,765,,
D_63,-34.265366,-71.0215,251,737,,
D_64,-34.17594,-70.695381,700,996,,
D_65,-34.190127,-70.716163,200,708,,
D_66,-34.163507,-70.712884,2400,1975,,
D_67,-34.451828,-70.894173,250,736,,
